"filename", "language", "Ini", "Python", "YAML", "SQL", "Docker", "pip requirements", "toml", "XML", "JavaScript", "Perl", "CSS", "LaTeX", "HTML", "BibTeX", "BibTeX style", "TeX", "Makefile", "comment", "blank", "total"
"/home/markn/Documents/arxiv-view-as-html/.pylintrc", "Ini", 345, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 482
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/Dockerfile", "Docker", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 93
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/bucket_static/addons.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 202
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/bucket_static/ar5iv_0.7.4.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1703, 0, 0, 0, 0, 0, 0, 7, 338, 2048
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/bucket_static/arxiv-logo-one-color-white.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/bucket_static/arxiv-logomark-small-white.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/bucket_static/feedbackOverlay.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 391, 0, 0, 0, 0, 0, 0, 0, 0, 78, 84, 553
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/bucket_static/styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 596, 0, 0, 0, 0, 0, 0, 35, 75, 706
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/entry_point.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 16
"/home/markn/Documents/arxiv-view-as-html/ConversionContainer/pyproject.toml", "toml", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
